X;Y;Z
600937.4035;134787.9775;2535.030193
601001.7213;134787.9775;2522.895776
601066.039;134787.9775;2512.649222
601130.3568;134787.9775;2504.995145
601194.6745;134787.9775;2501.402309
601258.9923;134787.9775;2500.066248
601323.31;134787.9775;2499.999999
601387.6278;134787.9775;2500.000002
601451.9455;134787.9775;2500.05699
601516.2632;134787.9775;2500.369163
601580.581;134787.9775;2501.654615
601644.8987;134787.9775;2503.866417
601709.2165;134787.9775;2506.465335
601773.5342;134787.9775;2508.4943
601837.852;134787.9775;2508.953229
601902.1697;134787.9775;2508.737339
601966.4875;134787.9775;2505.255319
602030.8052;134787.9775;2502.773537
602095.123;134787.9775;2501.852933
602159.4407;134787.9775;2501.222501
602223.7585;134787.9775;2500.782987
602288.0762;134787.9775;2500.000001
602352.394;134787.9775;2500
602416.7117;134787.9775;2500.000002
602481.0295;134787.9775;2500
602545.3472;134787.9775;2498.277826
602609.665;134787.9775;2494.999505
602673.9827;134787.9775;2492.256814
602738.3005;134787.9775;2489.870843
602802.6182;134787.9775;2491.273357
602866.936;134787.9775;2497.603428
